Question,Answer
What should I do if my application shows I need to upload documents again?,"Steps to check License status:
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Select ""Application Status"" from ""Apply Online"" menu"
How can I upload my photo and signature?,"Steps to Upload Photograph and Signature document in License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Upload Document""
4. Select ""Upload Photograph and Signature"" From ""Upload Documents"" menu.
Note : This Services is available as per states customization."
What is the process to upload my photo and signature for the application?,"Steps to Upload Photograph and Signature document in License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Upload Document""
4. Select ""Upload Photograph and Signature"" From ""Upload Documents"" menu.
Note : This Services is available as per states customization."
Can you help me with uploading my photo and signature?,"Steps to Upload Photograph and Signature document in License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Upload Document""
4. Select ""Upload Photograph and Signature"" From ""Upload Documents"" menu.
Note : This Services is available as per states customization."
I'm facing an error while uploading my photo and signature?,"Read the error message carefully & check document name and size while uploading. Images file type should be in ""jpeg"" format"
What should I do if I can't upload my photo and signature?,"Read the error message carefully & check document name and size while uploading. Images file type should be in ""jpeg"" format"
How can I resolve the error for uploading my photo and signature?,"Read the error message carefully & check document name and size while uploading. Images file type should be in ""jpeg"" format"
"My photo and signature have been uploaded successfully, but the application status shows pending?","Steps to check License status:
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Select ""Application Status"" from menu
4. Click on ""Refresh"" button"
Why is my application still pending after uploading my photo and signature?,"Steps to check License status:
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Select ""Application Status"" from menu
4. Click on ""Refresh"" button"
What does it mean if my application is pending after uploading required images?,"Steps to check License status:
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Select ""Application Status"" from menu
4. Click on ""Refresh"" button"
How can I upload a document against my application number?,"Steps to Upload/Re-upload scanned document in License:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Upload Document""
4. Select ""Upload Document/Scanned images""
Note : This Services is available as per states customization."
What is the process to upload a document for my specific application number?,"Steps to Upload/Re-upload scanned document in License:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Upload Document""
4. Select ""Upload Document/Scanned images""
Note : This Services is available as per states customization."
Can I upload a document linked to my application number?,"Steps to Upload/Re-upload scanned document in License:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Upload Document""
4. Select ""Upload Document/Scanned images""
Note : This Services is available as per states customization."
How do I modify or re-upload the documents?,"Steps to Upload/Re-upload scanned document in License:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Upload Document""
4. Select ""Upload Document/Scanned images""
Note :This Services is available as per states customization.Steps to Upload/Re-upload scanned document in License:-
"
Can I change the documents I've uploaded?,"Steps to Upload/Re-upload scanned document in License:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Upload Document""
4. Select ""Upload Document/Scanned images""
Note :This Services is available as per states customization.Steps to Upload/Re-upload scanned document in License:-
"
What is the process for modifying or re-uploading my documents?,"Steps to Upload/Re-upload scanned document in License:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Upload Document""
4. Select ""Upload Document/Scanned images""
Note :This Services is available as per states customization.Steps to Upload/Re-upload scanned document in License:-
"
Why do I need to upload a copy of the learner's license when it has been issued by the department?,It is as per state policy.
Is it necessary to upload my learner's license copy after it's issued?,It is as per state policy.
Why is there a requirement to upload the learner's license copy?,It is as per state policy.
What should I do if my driving license details are not showing on the SARATHI portal?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
How can I resolve the issue of my driving license not appearing on SARATHI?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
Why are my driving license details missing from the SARATHI portal?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
"I have removed a specific service, but why is the fee still showing for that service?","You need to contact your Zonal Office/Transport Department, while carrying the original document(s), or you may approach to the helpdesk."
How can I fix the issue of fees showing for services I've removed?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s), or you may approach to the helpdesk."
What should I do if the fee is still visible after removing a service?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s), or you may approach to the helpdesk."
"My driving license record is incomplete on SARATHI, but it's correct on the physical license?","You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
How do I update my driving license details on the SARATHI portal?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
Why is my driving license information showing incorrectly on SARATHI?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
Why is the latest record of my driving license not showing on SARATHI?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
How can I see the most recent updates for my driving license on the SARATHI portal?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What should I do if my latest driving license information is missing from SARATHI?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
I don’t know which RTO to apply to for the renewal of my driving license?,You need to select the RTO in which your last transaction is completed or the nearest RTO.
How can I find out the correct RTO for my driving license renewal?,You need to select the RTO in which your last transaction is completed or the nearest RTO.
Where should I go to renew my driving license?,You need to select the RTO in which your last transaction is completed or the nearest RTO.
I don’t know which RTO to apply to for a duplicate driving license?,You need to select the RTO in which your last transaction is completed
How can I determine the RTO for my duplicate driving license application?,You need to select the RTO in which your last transaction is completed
Where should I apply for a duplicate driving license?,You need to select the RTO in which your last transaction is completed
What is the process for renewing or obtaining a duplicate driving license?,"Steps follow to apply for RENEWAL of License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services on Drivers License(Renewal/Duplicate/AEDL/Others)"" from ""Driving License"" menu
4. Fill up application form
5. Click on ""Next Button"" to proceed
6. Visit RTO on scheduled date, with original documents & Fee Slip"
How do I apply for a renewal or duplicate of my driving license?,"Steps follow to apply for RENEWAL of License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services on Drivers License(Renewal/Duplicate/AEDL/Others)"" from ""Driving License"" menu
4. Fill up application form
5. Click on ""Next Button"" to proceed
6. Visit RTO on scheduled date, with original documents & Fee Slip"
What steps do I need to follow for a driving license renewal or duplicate?,"Steps follow to apply for RENEWAL of License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services on Drivers License(Renewal/Duplicate/AEDL/Others)"" from ""Driving License"" menu
4. Fill up application form
5. Click on ""Next Button"" to proceed
6. Visit RTO on scheduled date, with original documents & Fee Slip"
Why is a specific driving license service not showing while applying on SARATHI?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What should I do if a driving license service is missing from the application?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
How can I find the service I need for my driving license on SARATHI?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
Can I add or remove any driving license services after submitting my application?,"Steps to follow to apply for service withdrawn:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services Withdrawn by an Applicant"" License"" from ""Others"" menu
4. Enter OTP
5. Submit your Request"
Is it possible to modify my driving license application after submission?,"Steps to follow to apply for service withdrawn:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services Withdrawn by an Applicant"" License"" from ""Others"" menu
4. Enter OTP
5. Submit your Request"
How do I change services in my submitted driving license application?,"Steps to follow to apply for service withdrawn:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services Withdrawn by an Applicant"" License"" from ""Others"" menu
4. Enter OTP
5. Submit your Request"
My district/sub-district/village name is not listed while applying for driving license services?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s), or you may approach to the helpdesk."
How can I proceed if my location is not available in the application?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s), or you may approach to the helpdesk."
What should I do if my area is missing from the driving license application list?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s), or you may approach to the helpdesk."
How do I surrender a specific class of vehicle category?,"Steps to follow to apply for Surrender of COV :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services on Drivers License (Renewal/Duplicate/AEDL/Others)"" from ""Driving License"" menu
4. Fill up application form
5. Take appointment
6. Visit RTO on scheduled date with original documents.
Note : This Services is available in some states only.
For any additional service(e.g. Change of address, Duplicate etc.), you can select it from the services menu."
What is the process to give up a class of vehicle on my driving license?,"Steps to follow to apply for Surrender of COV :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services on Drivers License (Renewal/Duplicate/AEDL/Others)"" from ""Driving License"" menu
4. Fill up application form
5. Take appointment
6. Visit RTO on scheduled date with original documents.
Note : This Services is available in some states only.
For any additional service(e.g. Change of address, Duplicate etc.), you can select it from the services menu."
Can you guide me on surrendering a vehicle category?,"Steps to follow to apply for Surrender of COV :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services on Drivers License (Renewal/Duplicate/AEDL/Others)"" from ""Driving License"" menu
4. Fill up application form
5. Take appointment
6. Visit RTO on scheduled date with original documents.
Note : This Services is available in some states only.
For any additional service(e.g. Change of address, Duplicate etc.), you can select it from the services menu."
"I have two driving licenses for different vehicle classes; how can I club, renew, or duplicate them?","Steps follow to apply for ""Drivers License CLUB"" :-
1.Visit https://sarathi.parivahan.gov.in/sarathiservice/stateSelection.do
2. Select concerned state
4. Click on ""Drivers License CLUB"" from ""Apply Online"" menu
5. Fill up application Form
6. Take appointment
7. Visit RTO on scheduled date original documents.
Note : This Service is Applicable only in some states."
What should I do about having two different classes of driving licenses?,"Steps follow to apply for ""Drivers License CLUB"" :-
1.Visit https://sarathi.parivahan.gov.in/sarathiservice/stateSelection.do
2. Select concerned state
4. Click on ""Drivers License CLUB"" from ""Apply Online"" menu
5. Fill up application Form
6. Take appointment
7. Visit RTO on scheduled date original documents.
Note : This Service is Applicable only in some states."
Can I combine two driving licenses into one?,"Steps follow to apply for ""Drivers License CLUB"" :-
1.Visit https://sarathi.parivahan.gov.in/sarathiservice/stateSelection.do
2. Select concerned state
4. Click on ""Drivers License CLUB"" from ""Apply Online"" menu
5. Fill up application Form
6. Take appointment
7. Visit RTO on scheduled date original documents.
Note : This Service is Applicable only in some states."
Is an NOC required to renew my driving license in another state?,As per rule NOC is not required for Driving License
Do I need a No Objection Certificate to renew my license out of state?,As per rule NOC is not required for Driving License
How can I renew my driving license in a different state? Is NOC necessary?,As per rule NOC is not required for Driving License
"I have a driving license from state A, and I've moved to state B. How do I apply for a duplicate license here?","A permanent Drivers License is valid throughout India. However, you can visit the local RTO for more information"
What’s the process for getting a duplicate driving license in a new state?,"A permanent Drivers License is valid throughout India. However, you can visit the local RTO for more information"
Can I get a duplicate license from another state after moving?,"A permanent Drivers License is valid throughout India. However, you can visit the local RTO for more information"
How do I apply for the addition of a class of vehicle when I have a valid learner's license?,"Steps to follow for Additional Endorsement in License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Proceed for License related services
3. Select concerned state
4. Click on ""Services on Drivers License( Renewal/Duplicate/Additional Endorsement of Driving Licence/Others)"" from ""Driving License"" menu
5. Click ""continue""
6. Enter ""Drivers License number"" and ""Date of birth"" click ""Get Drivers License Details""
7. Fill up Application Form
8. Take appointment"
What steps do I need to follow to add a vehicle class to my driving license?,"Steps to follow for Additional Endorsement in License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Proceed for License related services
3. Select concerned state
4. Click on ""Services on Drivers License( Renewal/Duplicate/Additional Endorsement of Driving Licence/Others)"" from ""Driving License"" menu
5. Click ""continue""
6. Enter ""Drivers License number"" and ""Date of birth"" click ""Get Drivers License Details""
7. Fill up Application Form
8. Take appointment"
Can I apply for additional vehicle classes with my learner's license?,"Steps to follow for Additional Endorsement in License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Proceed for License related services
3. Select concerned state
4. Click on ""Services on Drivers License( Renewal/Duplicate/Additional Endorsement of Driving Licence/Others)"" from ""Driving License"" menu
5. Click ""continue""
6. Enter ""Drivers License number"" and ""Date of birth"" click ""Get Drivers License Details""
7. Fill up Application Form
8. Take appointment"
How to apply if my NT validity is recently expired but my transport validity expired more than a year ago?,"Steps follow to apply for RENEWAL of License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services on Drivers License (Renewal/Duplicate/AEDL/Others)"" from ""Driving License"" menu
4. Fill up application form
5. Click on ""Next Button"" to proceed
6. Visit RTO on scheduled date, with original documents & Fee Slip"
What do I do if my NT validity has expired and I don't want to renew transport validity?,"Steps follow to apply for RENEWAL of License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services on Drivers License (Renewal/Duplicate/AEDL/Others)"" from ""Driving License"" menu
4. Fill up application form
5. Click on ""Next Button"" to proceed
6. Visit RTO on scheduled date, with original documents & Fee Slip"
How can I proceed with my expired NT validity?,"Steps follow to apply for RENEWAL of License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services on Drivers License (Renewal/Duplicate/AEDL/Others)"" from ""Driving License"" menu
4. Fill up application form
5. Click on ""Next Button"" to proceed
6. Visit RTO on scheduled date, with original documents & Fee Slip"
"What is drivers license backlog manual data entry, and how can it be done online?","Drivers License backlog manual data entry is meant for which Drivers Licenses data are not digitized. Some states are allowing it at public end, otherwise you need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
How do I enter backlog data for my driving license manually?,"Drivers License backlog manual data entry is meant for which Drivers Licenses data are not digitized. Some states are allowing it at public end, otherwise you need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What is the process for online backlog data entry for driving licenses?,"Drivers License backlog manual data entry is meant for which Drivers Licenses data are not digitized. Some states are allowing it at public end, otherwise you need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
I entered wrong particulars during the drivers license backlog data entry. How can I correct it?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What should I do to fix errors in my backlog data entry?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
How can I modify incorrect information in my backlog data entry?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
"How do I renew a drivers license that belongs to a non-SARATHI enabled state, and details are not showing on SARATHI?","You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What should I do if my license renewal information is missing from SARATHI?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
How can I renew my driving license if it's not visible on the SARATHI portal?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
"Can I apply for renewal, duplicate, AEDL, and IDP simultaneously?","Steps follow to apply for RENEWAL of License:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services on Drivers License(Renewal/Duplicate/AEDL/Others)"" from ""Driving License"" menu
4. Fill up application form
5. Click on ""Next Button"" to proceed
6. Visit RTO on scheduled date, with original documents & Fee Slip"
Is it possible to submit multiple applications for different driving license services at once?,"Steps follow to apply for RENEWAL of License:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services on Drivers License(Renewal/Duplicate/AEDL/Others)"" from ""Driving License"" menu
4. Fill up application form
5. Click on ""Next Button"" to proceed
6. Visit RTO on scheduled date, with original documents & Fee Slip"
How can I apply for different driving license services at the same time?,"Steps follow to apply for RENEWAL of License:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services on Drivers License(Renewal/Duplicate/AEDL/Others)"" from ""Driving License"" menu
4. Fill up application form
5. Click on ""Next Button"" to proceed
6. Visit RTO on scheduled date, with original documents & Fee Slip"
How do I apply for an International Driving Permit for countries where the visa is on arrival?,Visa details are mandatory to issue IDP.
What is the process to get an International Driving Permit if visa details are required on SARATHI?,Visa details are mandatory to issue IDP.
Can I obtain an International Driving Permit for a heavy transport vehicle?,Visa details are mandatory to issue IDP.
What will be the issue date of my driving license: initial issue date or last endorsement date?,License issue date is mentioned along with Class Of Vehicles & last endorsement date is the date on which you have did your last transaction e.g. Last date of renewal or duplicate or change of address transaction.
How can I find out the issue date of my driving license?,License issue date is mentioned along with Class Of Vehicles & last endorsement date is the date on which you have did your last transaction e.g. Last date of renewal or duplicate or change of address transaction.
Which date is considered the issue date for my driving license?,License issue date is mentioned along with Class Of Vehicles & last endorsement date is the date on which you have did your last transaction e.g. Last date of renewal or duplicate or change of address transaction.
How do I update or modify my mobile number on my driving license?,"Steps follow for Mobile number update in License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Mobile Number Update"" from ""Others"" menu"
What steps should I follow to change my mobile number on the driving license?,"Steps follow for Mobile number update in License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Mobile Number Update"" from ""Others"" menu"
Can I update my contact number on my driving license online?,"Steps follow for Mobile number update in License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Mobile Number Update"" from ""Others"" menu"
How do I update my email ID on my driving license?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What steps should I take to modify my email address on my driving license?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
Can I change my email ID associated with my driving license?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
How can I find out my application number if I’ve lost it?,"Steps follow for Find Application Number :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Find Application Number"" from ""Others"" menu"
What should I do to recover my lost application number?,"Steps follow for Find Application Number :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Find Application Number"" from ""Others"" menu"
Is there a way to check my application number for a driving license service?,"Steps follow for Find Application Number :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Find Application Number"" from ""Others"" menu"
How do I check the status of my application?,"Steps to check License status:
1. Visit https://sarathi.parivahan.gov.in/sarathiservice/stateSelection.do
2. Select concerned state
3. Select ""Application Status"" from ""Apply Online"" menu"
What is the process to know the current status of my driving license application?,"Steps to check License status:
1. Visit https://sarathi.parivahan.gov.in/sarathiservice/stateSelection.do
2. Select concerned state
3. Select ""Application Status"" from ""Apply Online"" menu"
How can I track my application status?,"Steps to check License status:
1. Visit https://sarathi.parivahan.gov.in/sarathiservice/stateSelection.do
2. Select concerned state
3. Select ""Application Status"" from ""Apply Online"" menu"
I don’t have my driving license number; how can I find it?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What should I do to retrieve my driving license number?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
How can I obtain my driving license number if I lost it?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
"My driving license expired over a year ago, and the system is asking for a learner's license to renew. What should I do?",It is as per the state policy.
What happens if my driving license expired more than a year ago and I need to renew it?,It is as per the state policy.
Why is the system asking for a learner's license when my driving license has been expired for over a year?,It is as per the state policy.
Why is the renewal system asking me to take a driving license test since my license expired over a year ago?,"To Renewal license after one year expire one needs to undergo a Driving test, as per state policy."
What should I do if I need to renew my expired driving license and the system requires a driving test?,"To Renewal license after one year expire one needs to undergo a Driving test, as per state policy."
How can I renew my driving license without taking a test if it has expired for more than a year?,"To Renewal license after one year expire one needs to undergo a Driving test, as per state policy."
"My transport validity expired over a year ago, but my non-transport validity is still valid. What should I do?","Steps follow to apply for RENEWAL-Retest of License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services on Drivers License(Renewal/Duplicate/AEDL/Others)"" from ""Driving License"" menu
4. Click ""continue""
5. Enter ""Drivers License number"" and ""Date of birth"" click ""Get Drivers License Details""
6. Fill up Application Form
7. Take appointment
Note :
In case Drivers License is expired for more than 1 years, you need to undergo Driving test."
How do I proceed if I don’t want to renew my expired transport validity?,"Steps follow to apply for RENEWAL-Retest of License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services on Drivers License(Renewal/Duplicate/AEDL/Others)"" from ""Driving License"" menu
4. Click ""continue""
5. Enter ""Drivers License number"" and ""Date of birth"" click ""Get Drivers License Details""
6. Fill up Application Form
7. Take appointment
Note :
In case Drivers License is expired for more than 1 years, you need to undergo Driving test."
What’s the process for handling an expired transport validity when my non-transport validity is still active?,"Steps follow to apply for RENEWAL-Retest of License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services on Drivers License(Renewal/Duplicate/AEDL/Others)"" from ""Driving License"" menu
4. Click ""continue""
5. Enter ""Drivers License number"" and ""Date of birth"" click ""Get Drivers License Details""
6. Fill up Application Form
7. Take appointment
Note :
In case Drivers License is expired for more than 1 years, you need to undergo Driving test."
What should I do if my valid driving license shows as expired on SARATHI?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
How can I fix the issue of my driving license being marked expired on SARATHI?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What steps should I follow to address my valid license showing as expired?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
"While applying for services, I received a message saying 'Suspicious data found.' What does that mean?",Verify address fields while entry there should be no special characters in field
What should I do if the system flags my application as suspicious?,Verify address fields while entry there should be no special characters in field
How can I resolve the 'Suspicious data found' issue while applying for driving license services?,Verify address fields while entry there should be no special characters in field
How do I apply for a Public Service Vehicle badge?,"Steps to follow to apply for Public Service Vehicle Badge:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services on Drivers License(Renewal/Duplicate/AEDL/Others)"" from ""Driving License"" menu
4. Fill up application form
5. Take appointment
6. Visit RTO on scheduled date with original documents.
Note : This Services is available in some states only."
What is the process to get a Public Service Vehicle badge?,"Steps to follow to apply for Public Service Vehicle Badge:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services on Drivers License(Renewal/Duplicate/AEDL/Others)"" from ""Driving License"" menu
4. Fill up application form
5. Take appointment
6. Visit RTO on scheduled date with original documents.
Note : This Services is available in some states only."
Can you guide me on applying for a Public Service Vehicle badge?,"Steps to follow to apply for Public Service Vehicle Badge:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Services on Drivers License(Renewal/Duplicate/AEDL/Others)"" from ""Driving License"" menu
4. Fill up application form
5. Take appointment
6. Visit RTO on scheduled date with original documents.
Note : This Services is available in some states only."
For which class of vehicle can I apply for a Public Service Vehicle badge?,You can apply for LMV (Light Motor Vehicle) & TRANSPORT.
What types of vehicles are eligible for the Public Service Vehicle badge?,You can apply for LMV (Light Motor Vehicle) & TRANSPORT.
Can I apply for a Public Service Vehicle badge for my current vehicle class?,You can apply for LMV (Light Motor Vehicle) & TRANSPORT.
How do I surrender my Public Service Vehicle badge without giving up the linked class of vehicle?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What is the process for surrendering a Public Service Vehicle badge?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
Can I keep my vehicle class while surrendering the Public Service Vehicle badge?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What is the validity period of a Public Service Vehicle badge?,"commercial Driving license is valid for 5 years from the date of issue.
(Public Service Vehicle Badge validity is as per the state policy.)"
How long is the Public Service Vehicle badge valid?,"commercial Driving license is valid for 5 years from the date of issue.
(Public Service Vehicle Badge validity is as per the state policy.)"
When does the Public Service Vehicle badge expire?,"commercial Driving license is valid for 5 years from the date of issue.
(Public Service Vehicle Badge validity is as per the state policy.)"
How do I get a refund for a cancelled application number?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What is the process for obtaining a refund for my cancelled application?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
Can you guide me on getting my refund for a cancelled driving license application?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
My driving license details are not shown in the National Register. How can I authenticate them for use abroad?,"Driving License details are updated from State Register to the NR Portal. Please consult the concerned State Transport Department, if the details are missing in the NR Portal."
How do I verify my driving license details for foreign use?,"Driving License details are updated from State Register to the NR Portal. Please consult the concerned State Transport Department, if the details are missing in the NR Portal."
What steps should I take to authenticate my driving license for international purposes?,"Driving License details are updated from State Register to the NR Portal. Please consult the concerned State Transport Department, if the details are missing in the NR Portal."
When should I apply for the renewal of my driving license?,"As per the latest amendment of CMV Act, renewal of a driving License could be done within one year prior to or after the expiry of the Driving License."
How early can I start the renewal process for my driving license?,"As per the latest amendment of CMV Act, renewal of a driving License could be done within one year prior to or after the expiry of the Driving License."
What is the ideal time frame to apply for a driving license renewal?,"As per the latest amendment of CMV Act, renewal of a driving License could be done within one year prior to or after the expiry of the Driving License."
How can I add a different class of vehicle to my existing driving license?,"Applicants can apply for adding a new class of vehicle to the Driving License ONLINE by following the link Log on https://sarathi.parivahan.gov.in >> Select State >> Apply Online>> Services on Driving License, provided on the website for the selected state. A valid Learner License is a prerequisite for this service."
What is the procedure to include another vehicle class on my driving license?,"Applicants can apply for adding a new class of vehicle to the Driving License ONLINE by following the link Log on https://sarathi.parivahan.gov.in >> Select State >> Apply Online>> Services on Driving License, provided on the website for the selected state. A valid Learner License is a prerequisite for this service."
How do I apply for an additional vehicle class on my driving license?,"Applicants can apply for adding a new class of vehicle to the Driving License ONLINE by following the link Log on https://sarathi.parivahan.gov.in >> Select State >> Apply Online>> Services on Driving License, provided on the website for the selected state. A valid Learner License is a prerequisite for this service."
How do I get my address changed on my driving license?,"Applicants can apply ONLINE for change of address in Driving License.
Visit https://sarathi.parivahan.gov.in >> Select State >>Driving License>>Services on Driving License, provided on the website.
Enter the Driving License Number and Date of Birth and click on Get Drivers License Details button. Then select Change of Address from the list of services provided."
What is the process for updating my address in my driving license?,"Applicants can apply ONLINE for change of address in Driving License.
Visit https://sarathi.parivahan.gov.in >> Select State >>Driving License>>Services on Driving License, provided on the website.
Enter the Driving License Number and Date of Birth and click on Get Drivers License Details button. Then select Change of Address from the list of services provided."
Can I modify my address on my driving license online?,"Applicants can apply ONLINE for change of address in Driving License.
Visit https://sarathi.parivahan.gov.in >> Select State >>Driving License>>Services on Driving License, provided on the website.
Enter the Driving License Number and Date of Birth and click on Get Drivers License Details button. Then select Change of Address from the list of services provided."
My driving license has been approved but not delivered. What should I do?,You are requested to contact the concerned RTO/Department to get the Driving License dispatch tracking number. Using the number you can track the status of the License.
How can I track the delivery of my approved driving license?,You are requested to contact the concerned RTO/Department to get the Driving License dispatch tracking number. Using the number you can track the status of the License.
What steps can I take if my approved license hasn’t arrived yet?,You are requested to contact the concerned RTO/Department to get the Driving License dispatch tracking number. Using the number you can track the status of the License.
Why is my driving license data not updated in DigiLocker?,"Driving License details are needed to be migrated from RTO to Sarathi portal by your concerned RTO. If the Driving License details are not found in Digilocker, please consult your RTO/Department"
How can I fix the issue of my driving license information not showing in DigiLocker?,"Driving License details are needed to be migrated from RTO to Sarathi portal by your concerned RTO. If the Driving License details are not found in Digilocker, please consult your RTO/Department"
What should I do if my driving license details are missing from DigiLocker?,"Driving License details are needed to be migrated from RTO to Sarathi portal by your concerned RTO. If the Driving License details are not found in Digilocker, please consult your RTO/Department"
Can I change the RTO after generating my application?,Application generated against any RTO can be changed before the payment of Fees. You are requested to contact the concerned RTO for further information in this regard.
What is the process for changing my RTO post-application submission?,Application generated against any RTO can be changed before the payment of Fees. You are requested to contact the concerned RTO for further information in this regard.
How do I modify the RTO in my existing application?,Application generated against any RTO can be changed before the payment of Fees. You are requested to contact the concerned RTO for further information in this regard.
I am unable to print my learner license. What should I do?,"Please follow the process below to print Learner License.
https://sarathi.parivahan.gov.in >> Select State >> Learner License >> Print Learner License(Form3) >> Enter Application No & Date of Birth"
